(Number of original powers   32768 )
(First point       1 )
(Last point   32768 )
(Rebin factor       0 )
(Number of rebinned powers   32767 )
(Number of Trafos   109.000 )
(Flux   1438.32458000 )
(Average Poisson level      0.00000000 )
(Renormalization const   1.0000000     )
(Background rate  0.00000000     )
(Count rate per PCU   719.16229     )
(Count rate * VLE rate per PCU   62210.086     )
       26.87500000        1.85139394        0.17733139
       26.93750000        1.82221079        0.17453614
       27.00000000        2.08678436        0.19987769
       27.06250000        2.14777064        0.20571911
       27.12500000        1.92597532        0.18447497
       27.18750000        2.29420853        0.21974532
       27.25000000        1.82841766        0.17513065
       27.31250000        1.83122647        0.17539969
       27.37500000        1.93362057        0.18520726
       27.43750000        1.99744248        0.19132030
       27.50000000        1.85915399        0.17807466
       27.56250000        1.82731354        0.17502490
       27.62500000        1.77175963        0.16970380
       27.68750000        2.07323027        0.19857946
       27.75000000        1.96926177        0.18862106
       27.81250000        2.13965511        0.20494179
       27.87500000        2.10790157        0.20190036
       27.93750000        2.44368076        0.23406218
       28.00000000        2.22073555        0.21270789
       28.06250000        1.84483325        0.17670299
       28.12500000        2.22115803        0.21274836
       28.18750000        2.03911519        0.19531181
       28.25000000        1.98296022        0.18993315
       28.31250000        2.11839485        0.20290543
       28.37500000        1.93861949        0.18568608
       28.43750000        1.97232783        0.18891475
       28.50000000        2.13558340        0.20455180
       28.56250000        1.94600379        0.18639335
       28.62500000        1.85513628        0.17768982
       28.68750000        1.82460165        0.17476514
       28.75000000        1.98355675        0.18999028
       28.81250000        1.85741544        0.17790814
       28.87500000        1.92879903        0.18474545
       28.93750000        2.10165906        0.20130244
       29.00000000        2.25386834        0.21588144
       29.06250000        2.03721642        0.19512996
       29.12500000        2.08131671        0.19935399
       29.18750000        2.01095533        0.19261460
       29.25000000        1.79221320        0.17166290
       29.31250000        2.17325711        0.20816028
       29.37500000        1.70190322        0.16301276
       29.43750000        1.62633085        0.15577425
       29.50000000        2.28134537        0.21851327
       29.56250000        2.03516841        0.19493377
       29.62500000        1.80628979        0.17301118
       29.68750000        1.91458082        0.18338360
       29.75000000        1.89279449        0.18129683
       29.81250000        2.01872396        0.19335869
       29.87500000        2.18764925        0.20953880
       29.93750000        2.27015877        0.21744177
       30.00000000        2.21143985        0.21181752
       30.06250000        1.78412771        0.17088844
       30.12500000        1.94687343        0.18647666
       30.18750000        2.05904603        0.19722085
       30.25000000        1.85470521        0.17764854
       30.31250000        2.06672311        0.19795617
       30.37500000        1.89678097        0.18167867
       30.43750000        1.84240234        0.17647013
       30.50000000        1.72264290        0.16499928
       30.56250000        2.08010530        0.19923796
       30.62500000        1.78353012        0.17083120
       30.68750000        2.23998666        0.21455182
       30.75000000        1.88576090        0.18062313
       30.81250000        2.16079807        0.20696692
       30.87500000        1.75683534        0.16827431
       30.93750000        1.69464922        0.16231796
       31.00000000        2.03626847        0.19503915
       31.06250000        1.77216768        0.16974288
       31.12500000        1.98847568        0.19046143
       31.18750000        1.91262388        0.18319614
       31.25000000        1.91358304        0.18328801
       31.31250000        1.71940994        0.16468960
       31.37500000        1.74724436        0.16735566
       31.43750000        1.50183403        0.14384961
       31.50000000        2.02159548        0.19363374
       31.56250000        1.83077371        0.17535631
       31.62500000        1.83522725        0.17578289
       31.68750000        1.89363647        0.18137749
       31.75000000        2.23078775        0.21367072
       31.81250000        2.00416541        0.19196422
       31.87500000        1.87454820        0.17954916
       31.93750000        2.00106120        0.19166692
       32.00000000        2.21871114        0.21251398
       32.06250000        2.04174852        0.19556405
       32.12500000        1.94483769        0.18628168
       32.18750000        1.79220355        0.17166197
       32.25000000        2.08728075        0.19992524
       32.31250000        2.19175363        0.20993192
       32.37500000        1.81272817        0.17362787
       32.43750000        1.73577738        0.16625732
       32.50000000        1.78247046        0.17072971
       32.56250000        2.08413506        0.19962393
       32.62500000        1.85214150        0.17740299
       32.68750000        1.86764073        0.17888753
       32.75000000        2.03262711        0.19469038
       32.81250000        1.99686253        0.19126473
       32.87500000        1.81240869        0.17359726
       32.93750000        2.25440359        0.21593271
       33.00000000        2.02337313        0.19380400
       33.06250000        2.11923504        0.20298590
       33.12500000        1.67834699        0.16075648
       33.18750000        2.12249780        0.20329843
       33.25000000        1.69682586        0.16252644
       33.31250000        1.88214195        0.18027650
       33.37500000        2.02602339        0.19405785
       33.43750000        1.99534178        0.19111907
       33.50000000        2.16391015        0.20726499
       33.56250000        1.93571889        0.18540825
       33.62500000        1.83126879        0.17540373
       33.68750000        2.29091811        0.21943015
       33.75000000        2.29989338        0.22028984
       33.81250000        1.98763657        0.19038107
       33.87500000        2.35845304        0.22589883
       33.93750000        1.93089724        0.18494640
       34.00000000        2.20998931        0.21167858
       34.06250000        2.12420559        0.20346200
       34.12500000        1.97573698        0.18924129
       34.18750000        2.02018356        0.19349849
       34.25000000        2.03458977        0.19487835
       34.31250000        1.99703181        0.19128096
       34.37500000        1.96180177        0.18790653
       34.43750000        1.66622615        0.15959552
       34.50000000        1.99070370        0.19067484
       34.56250000        2.22956753        0.21355385
       34.62500000        1.95597768        0.18734869
       34.68750000        1.90452552        0.18242046
       34.75000000        1.78067148        0.17055739
       34.81250000        2.38615847        0.22855254
       34.87500000        2.39853716        0.22973821
       34.93750000        2.05645657        0.19697282
       35.00000000        1.96458590        0.18817320
       35.06250000        1.85178804        0.17736913
       35.12500000        2.41245747        0.23107153
       35.18750000        2.18504310        0.20928916
       35.25000000        2.13507295        0.20450291
       35.31250000        1.73787522        0.16645825
       35.37500000        2.02730966        0.19418105
       35.43750000        1.56086922        0.14950417
       35.50000000        2.03619909        0.19503251
       35.56250000        2.19704080        0.21043836
       35.62500000        2.03420138        0.19484116
       35.68750000        2.07635474        0.19887872
       35.75000000        1.78790271        0.17125002
       35.81250000        1.76312709        0.16887695
       35.87500000        1.84118640        0.17635368
       35.93750000        1.78708184        0.17117140
       36.00000000        1.76360416        0.16892265
       36.06250000        2.19430828        0.21017663
       36.12500000        1.92098856        0.18399733
       36.18750000        2.04553032        0.19592628
       36.25000000        2.07765102        0.19900289
       36.31250000        2.14658523        0.20560558
       36.37500000        2.26839781        0.21727310
       36.43750000        1.90505636        0.18247131
       36.50000000        2.18325162        0.20911758
       36.56250000        1.64383280        0.15745063
       36.62500000        1.81156373        0.17351633
       36.68750000        1.82656229        0.17495294
       36.75000000        1.77876770        0.17037505
       36.81250000        1.80193150        0.17259374
       36.87500000        1.73931992        0.16659664
       36.93750000        1.96013069        0.18774647
       37.00000000        2.02660704        0.19411376
       37.06250000        1.58570266        0.15188277
       37.12500000        2.12752366        0.20377982
       37.18750000        1.95251858        0.18701737
       37.25000000        2.18329144        0.20912139
       37.31250000        2.19267249        0.21001995
       37.37500000        1.92593837        0.18447144
       37.43750000        2.29767323        0.22007719
       37.50000000        1.82389605        0.17469756
       37.56250000        2.21406603        0.21206906
       37.62500000        2.08142638        0.19936450
       37.68750000        1.64916420        0.15796128
       37.75000000        1.79444718        0.17187688
       37.81250000        1.92081010        0.18398024
       37.87500000        2.12626147        0.20365892
       37.93750000        1.67715585        0.16064240
       38.00000000        2.13778162        0.20476234
       38.06250000        1.98414707        0.19004682
       38.12500000        1.81052887        0.17341723
       38.18750000        2.30908751        0.22117049
       38.25000000        2.09983921        0.20112813
       38.31250000        2.12339807        0.20338464
       38.37500000        2.02352118        0.19381818
       38.43750000        2.03315854        0.19474128
       38.50000000        2.03239346        0.19466799
       38.56250000        1.73034024        0.16573654
       38.62500000        1.77224517        0.16975030
       38.68750000        1.73422384        0.16610852
       38.75000000        1.69156122        0.16202217
       38.81250000        2.17245460        0.20808341
       38.87500000        1.92323840        0.18421283
       38.93750000        2.00526237        0.19206931
       39.00000000        1.85722184        0.17788959
       39.06250000        1.69576478        0.16242480
       39.12500000        2.23905325        0.21446240
       39.18750000        1.76215971        0.16878429
       39.25000000        1.96982372        0.18867490
       39.31250000        1.98679245        0.19030020
       39.37500000        2.15784955        0.20668450
       39.43750000        2.01758051        0.19324917
       39.50000000        1.85015965        0.17721316
       39.56250000        1.97368896        0.18904513
       39.62500000        1.96515083        0.18822731
       39.68750000        1.54324770        0.14781632
       39.75000000        2.28543758        0.21890523
       39.81250000        2.05515027        0.19684771
       39.87500000        1.87082231        0.17919229
       39.93750000        1.83311212        0.17558029
       40.00000000        2.01768470        0.19325915
       40.06250000        2.00271559        0.19182536
       40.12500000        1.86906970        0.17902441
       40.18750000        1.85126555        0.17731908
       40.25000000        1.86878514        0.17899716
       40.31250000        2.14307332        0.20526919
       40.37500000        2.32887244        0.22306553
       40.43750000        2.31952095        0.22216982
       40.50000000        1.95127976        0.18689871
       40.56250000        1.93882263        0.18570553
       40.62500000        2.24055004        0.21460576
       40.68750000        1.92729425        0.18460132
       40.75000000        1.69827032        0.16266480
       40.81250000        1.81264925        0.17362031
       40.87500000        1.89517081        0.18152446
       40.93750000        2.34887958        0.22498187
       41.00000000        2.18589354        0.20937064
       41.06250000        1.97341788        0.18901916
       41.12500000        1.88735056        0.18077540
       41.18750000        1.88692617        0.18073475
       41.25000000        1.93561208        0.18539801
       41.31250000        1.85192394        0.17738214
       41.37500000        2.11702228        0.20277396
       41.43750000        1.64974666        0.15801708
       41.50000000        1.86427772        0.17856541
       41.56250000        2.13932586        0.20491026
       41.62500000        2.16971564        0.20782107
       41.68750000        2.22485900        0.21310285
       41.75000000        1.67557025        0.16049053
       41.81250000        2.30378509        0.22066259
       41.87500000        2.05658960        0.19698556
       41.93750000        2.24791574        0.21531127
       42.00000000        2.20388746        0.21109413
       42.06250000        2.20380092        0.21108586
       42.12500000        2.01850772        0.19333798
       42.18750000        1.92400372        0.18428613
       42.25000000        1.99602616        0.19118463
       42.31250000        1.90240228        0.18221711
       42.37500000        1.94612610        0.18640508
       42.43750000        2.30827403        0.22109255
       42.50000000        2.18478727        0.20926467
       42.56250000        1.87787914        0.17986821
       42.62500000        1.91475070        0.18339987
       42.68750000        1.72737861        0.16545287
       42.75000000        2.14450169        0.20540601
       42.81250000        1.93373179        0.18521792
       42.87500000        1.82605445        0.17490429
       42.93750000        2.19561458        0.21030174
       43.00000000        1.75517583        0.16811535
       43.06250000        1.74399495        0.16704442
       43.12500000        1.89938807        0.18192840
       43.18750000        2.01259279        0.19277143
       43.25000000        2.10385323        0.20151259
       43.31250000        2.37554979        0.22753641
       43.37500000        2.27054095        0.21747838
       43.43750000        2.41823649        0.23162507
       43.50000000        1.71866703        0.16461845
       43.56250000        2.09973645        0.20111828
       43.62500000        2.21002460        0.21168196
       43.68750000        2.23095155        0.21368641
